user_id,username,frequency,avg_message_length,total_messages,url_ratio,repetition_ratio,time_in_channel,suspicious_links,generic_name,username_length,has_numbers,has_underscore,numeric_ratio,uppercase_ratio,special_char_count,is_bot
81576299,bardera_67,0.2275449101796407,44.63157894736842,38,0.9736842105263158,2.7142857142857144,167,0,0,10,1,1,0.2,0.0,1,1
42740958,maxisickkK,0.00684931506849315,12.0,1,0.0,1.0,146,0,0,10,0,0,0.0,0.1,0,0
56114003,david9990a,0.2288135593220339,84.74074074074075,27,1.0,3.857142857142857,118,0,0,10,1,0,0.4,0.0,0,1
29207048,Sn_NicoV_Htv,0.0064516129032258064,18.0,1,0.0,1.0,155,0,0,12,0,1,0.0,0.3333333333333333,2,0
31782889,fexnn,0.006211180124223602,8.0,1,0.0,1.0,161,0,0,5,0,0,0.0,0.0,0,0
30094630,johsn424,0.15625,19.4,5,0.0,2.5,32,0,0,8,1,0,0.375,0.0,0,0
14571583,alevidallet,0.00819672131147541,61.0,1,1.0,1.0,122,0,0,11,0,0,0.0,0.0,0,1
52556355,RenatalvsMatiasRecalt,0.2087912087912088,76.15789473684211,19,0.7368421052631579,1.1176470588235294,91,0,0,21,0,0,0.0,0.14285714285714285,0,1
44432920,Rogford,0.041666666666666664,47.0,1,0.0,1.0,24,0,0,7,0,0,0.0,0.14285714285714285,0,0
47553676,1GIAN1,0.005988023952095809,26.0,1,0.0,1.0,167,0,0,6,1,0,0.3333333333333333,0.6666666666666666,0,0
79548796,dragonmaster98,0.031007751937984496,129.75,4,0.75,2.0,129,0,0,14,1,0,0.14285714285714285,0.0,0,1
27792782,luis_fer1234,0.01694915254237288,18.0,1,0.0,1.0,59,0,0,12,1,1,0.3333333333333333,0.0,1,0
61498942,Lautarinho12,0.022598870056497175,9.5,4,0.0,1.0,177,0,0,12,1,0,0.16666666666666666,0.08333333333333333,0,0
31994924,Labandejamktt,0.017857142857142856,75.0,1,1.0,1.0,56,0,0,13,0,0,0.0,0.07692307692307693,0,1
81778356,julietaa_12,0.08,17.833333333333332,6,0.0,1.5,75,0,0,11,1,1,0.18181818181818182,0.0,1,0
81728471,ddu10,0.057692307692307696,61.166666666666664,12,0.9166666666666666,2.0,208,0,0,5,1,0,0.4,0.0,0,1
73861122,bbautistarobless,0.07865168539325842,18.0,7,0.0,1.0,89,0,0,16,0,0,0.0,0.0,0,0
31994924,Labandejamktt,0.017857142857142856,75.0,1,1.0,1.0,56,0,0,13,0,0,0.0,0.07692307692307693,0,1
15612845,Stovar77,0.006578947368421052,4.0,1,0.0,1.0,152,0,0,8,1,0,0.25,0.125,0,0
81576299,bardera_67,0.2275449101796407,44.63157894736842,38,0.9736842105263158,2.7142857142857144,167,0,0,10,1,1,0.2,0.0,1,1
56407609,00Juanmassj,0.019417475728155338,22.0,2,0.0,1.0,103,0,0,11,1,0,0.18181818181818182,0.09090909090909091,0,0
78887488,escorcia_cule,0.13333333333333333,18.0,6,0.0,6.0,45,0,0,13,0,1,0.0,0.0,1,0
45620287,ChuyDLP,0.05,47.0,1,0.0,1.0,20,0,0,7,0,0,0.0,0.5714285714285714,0,0
31787105,Andrezzz0013,0.005747126436781609,6.0,1,0.0,1.0,174,0,0,12,1,0,0.3333333333333333,0.08333333333333333,0,0
5491715,donmarito,0.0392156862745098,14.5,2,0.0,1.0,51,0,0,9,0,0,0.0,0.0,0,0
40160956,fergv07,0.08759124087591241,52.75,12,0.75,4.0,137,0,0,7,1,0,0.2857142857142857,0.0,0,1
80626074,ambs2084,0.03333333333333333,53.0,3,1.0,3.0,90,0,0,8,1,0,0.5,0.0,0,1
29950014,Farkas07,0.028708133971291867,20.0,6,0.0,6.0,209,0,0,8,1,0,0.25,0.125,0,0
9787514,iluddmi,0.03940886699507389,15.25,8,0.0,2.6666666666666665,203,0,0,7,0,0,0.0,0.0,0,0
41492416,mcelkin,0.005128205128205128,18.0,1,0.0,1.0,195,0,0,7,0,0,0.0,0.0,0,0
80519384,milomilo21,0.008620689655172414,26.0,1,0.0,1.0,116,0,0,10,1,0,0.2,0.0,0,0
60542239,Ceeslixa,0.24193548387096775,51.266666666666666,15,0.0,2.142857142857143,62,0,0,8,0,0,0.0,0.125,0,0
45257425,GastaCabj,0.04838709677419355,22.666666666666668,3,0.0,1.0,62,0,0,9,0,0,0.0,0.2222222222222222,0,0
4985258,Yamilaaylenn,0.045454545454545456,18.0,2,0.0,2.0,44,0,0,12,0,0,0.0,0.08333333333333333,0,0
52556355,RenatalvsMatiasRecalt,0.2087912087912088,76.15789473684211,19,0.7368421052631579,1.1176470588235294,91,0,0,21,0,0,0.0,0.14285714285714285,0,1
36578388,CrestedRook,0.007936507936507936,5.0,1,0.0,1.0,126,0,0,11,0,0,0.0,0.18181818181818182,0,0
